order_detail_id,order_id,product_id,quantity,sales_amount,discount,profit
1,1,51,4,18180.0,0.0,2846.04
2,1,11,5,4507.04,0.15,786.84
3,2,6,5,22906.05,0.0,5777.25
4,2,67,3,10129.01,0.15,3448.88
5,2,14,2,7687.41,0.2,2400.78
6,3,30,3,9314.38,0.1,2680.96
7,3,88,1,3338.39,0.05,1351.31
8,3,91,3,2244.1,0.15,799.88
9,4,120,4,10104.48,0.0,3955.52
10,4,51,5,21588.75,0.05,3379.67
11,4,67,4,12710.91,0.2,4328.0
12,5,97,2,1659.81,0.2,667.17
13,5,14,4,19218.52,0.0,6001.96
14,6,107,2,4079.23,0.2,653.6
15,6,89,1,1867.18,0.15,301.51
16,7,103,4,4924.08,0.0,1804.64
17,7,14,1,3843.7,0.2,1200.39
18,8,40,4,2323.05,0.05,614.23
19,8,31,2,3472.18,0.15,791.93
20,8,97,1,1037.38,0.0,416.98
21,9,4,1,3594.41,0.0,1607.63
22,9,3,2,6790.74,0.2,2584.35
23,9,38,1,4717.49,0.0,1511.7
24,10,33,4,1739.41,0.05,554.65
25,10,58,4,2853.88,0.0,1023.4
26,10,16,5,7789.43,0.05,1570.21
27,11,44,3,1917.9,0.0,320.49
28,11,50,3,1637.71,0.1,294.22
29,12,80,4,1945.31,0.2,426.62
30,12,76,5,21060.28,0.15,6449.29
31,12,118,1,3393.22,0.2,896.41
32,13,63,3,4956.69,0.05,821.91
33,13,5,1,3098.04,0.05,526.14
34,13,64,4,4190.72,0.1,1490.83
35,14,97,1,933.64,0.1,375.28
36,14,69,5,20291.28,0.15,6321.03
37,15,113,4,3045.4,0.0,1029.36
38,15,45,4,3344.12,0.0,1316.84
39,16,63,1,1565.27,0.1,259.55
40,16,98,3,7362.54,0.15,1196.13
41,17,12,2,4347.28,0.2,1642.02
42,17,11,1,954.43,0.1,166.63
43,18,49,2,2721.48,0.15,908.05
44,18,96,4,17104.24,0.0,4372.0
45,18,44,3,1822.0,0.05,304.47
46,19,71,4,6393.56,0.0,1548.2
47,19,100,5,4884.16,0.1,1259.41
48,20,13,2,6826.67,0.15,2910.18
49,20,2,1,3288.51,0.15,1072.98
50,21,57,2,5490.49,0.1,2148.62
51,21,9,3,6265.54,0.2,1507.75
52,21,65,5,21803.67,0.1,4696.7
53,22,103,5,4924.08,0.2,1804.64
54,22,119,1,4136.78,0.05,680.29
55,23,75,5,17944.07,0.1,7676.64
56,23,16,2,2951.78,0.1,595.03
57,24,38,2,9434.98,0.0,3023.4
58,24,110,3,2621.73,0.15,650.0
59,25,43,1,1656.15,0.2,566.06
60,25,55,2,4442.58,0.0,1353.8
61,26,26,2,550.32,0.0,213.44
62,26,62,4,15604.1,0.2,6384.61
63,26,63,2,3130.54,0.1,519.1
64,27,6,2,9162.42,0.0,2310.9
65,27,39,3,8310.1,0.2,2092.46
66,28,75,2,6380.11,0.2,2729.47
67,28,109,4,6046.5,0.2,1890.4
68,28,64,1,1164.09,0.0,414.12
69,29,22,5,19235.97,0.15,4661.14
70,29,18,1,2567.67,0.1,1112.23
71,29,17,4,2465.44,0.05,828.93
72,30,102,4,9047.4,0.0,4059.24
73,30,90,5,3028.52,0.2,508.16
74,31,48,1,1708.91,0.1,721.3
75,31,82,4,13807.48,0.0,4558.04
76,31,70,3,9720.43,0.1,3095.6
77,32,72,4,16524.12,0.0,3491.6
78,32,90,1,757.13,0.0,127.04
79,33,34,3,11409.23,0.1,3968.38
80,33,113,4,2588.59,0.15,874.96
81,34,118,2,8483.06,0.0,2241.02
82,34,32,1,3994.39,0.0,971.46
83,34,117,1,1348.45,0.15,531.11
84,35,24,4,14835.07,0.2,3629.73
85,35,86,5,5989.51,0.05,2023.03
86,35,26,5,1307.01,0.05,506.92
87,36,62,2,8289.68,0.15,3391.82
88,36,9,4,10442.56,0.0,2512.92
89,36,102,5,11309.25,0.0,5074.05
90,37,30,2,6554.56,0.05,1886.6
91,37,26,2,440.26,0.2,170.75
92,38,90,1,719.27,0.05,120.69
93,38,51,1,3863.25,0.15,604.78
94,39,101,5,17755.48,0.2,5595.24
95,39,2,3,9865.52,0.15,3218.94
96,39,15,5,6837.0,0.0,1646.55
97,40,39,2,6578.83,0.05,1656.53
98,40,113,2,1370.43,0.1,463.21
99,41,103,2,1969.63,0.2,721.86
100,41,28,4,14905.19,0.1,2553.8
101,42,62,1,4876.28,0.0,1995.19
102,42,28,4,14077.12,0.15,2411.93
103,43,82,5,17259.35,0.0,5697.55
104,43,81,2,660.19,0.2,102.27
105,44,17,2,1297.6,0.0,436.28
106,44,110,4,3495.64,0.15,866.66
107,44,66,1,1499.61,0.15,548.73
108,45,22,4,14483.55,0.2,3509.57
109,45,32,3,11983.17,0.0,2914.38
110,46,106,1,672.28,0.1,167.26
111,46,34,1,4014.36,0.05,1396.28
112,46,53,4,6581.72,0.0,1988.08
113,47,25,3,2864.43,0.1,558.2
114,47,86,4,4287.23,0.15,1448.06
115,48,108,2,3067.81,0.1,1022.83
116,48,111,5,17182.49,0.15,2996.55
117,48,29,4,9344.45,0.2,1823.74
118,49,112,2,6065.62,0.0,1506.5
119,49,97,5,4408.87,0.15,1772.17
120,49,82,3,9320.05,0.1,3076.68
121,50,99,4,4463.89,0.15,1466.32
