order_id,customer_id,order_date,region,sales_rep,order_status
1,197,2025-10-30,Central,Pooja,Shipped
2,351,2025-12-28,West,Pooja,Shipped
3,86,2024-02-01,Central,Sneha,Completed
4,17,2025-07-04,South,Karan,Completed
5,400,2025-05-22,Central,Rohit,Pending
6,58,2024-10-01,North,Rohit,Completed
7,278,2025-07-13,West,Sneha,Shipped
8,53,2024-02-03,East,Pooja,Completed
9,179,2024-04-30,West,Sneha,Completed
10,416,2025-12-28,East,Anjali,Cancelled
11,220,2024-05-22,Central,Sneha,Completed
12,413,2024-12-25,Central,Rohit,Completed
13,306,2024-11-27,South,Karan,Completed
14,294,2025-11-26,Central,Priya,Completed
15,493,2024-10-10,North,Amit,Cancelled
16,444,2024-05-29,South,Neha,Completed
17,390,2024-05-25,West,Anjali,Cancelled
18,138,2025-04-07,West,Priya,Cancelled
19,407,2025-06-11,West,Karan,Cancelled
20,480,2025-05-14,West,Neha,Pending
21,2,2025-10-12,West,Neha,Completed
22,408,2024-08-11,West,Vikram,Completed
23,254,2024-10-17,East,Neha,Pending
24,296,2025-05-11,Central,Neha,Cancelled
25,391,2024-04-11,North,Pooja,Completed
26,64,2025-04-12,West,Rahul,Shipped
27,104,2024-06-11,East,Karan,Completed
28,336,2024-03-25,East,Neha,Cancelled
29,463,2025-02-09,North,Karan,Cancelled
30,359,2025-11-02,West,Priya,Cancelled
31,49,2025-05-03,South,Priya,Completed
32,304,2025-11-27,Central,Pooja,Completed
33,5,2025-03-08,North,Amit,Shipped
34,37,2024-04-01,West,Priya,Completed
35,161,2024-05-20,East,Vikram,Completed
36,329,2025-06-27,North,Anjali,Completed
37,313,2024-12-25,West,Sneha,Cancelled
38,384,2025-09-22,West,Pooja,Completed
39,45,2024-05-06,South,Anjali,Cancelled
40,197,2024-11-18,West,Amit,Completed
41,142,2025-07-20,South,Anjali,Pending
42,370,2025-12-08,East,Rahul,Cancelled
43,449,2025-06-14,South,Anjali,Pending
44,97,2025-10-23,East,Rahul,Completed
45,254,2024-09-03,North,Pooja,Cancelled
46,305,2024-01-13,Central,Neha,Completed
47,68,2025-03-06,Central,Neha,Pending
48,350,2024-03-15,West,Rahul,Pending
49,35,2024-08-08,East,Rahul,Completed
50,486,2024-10-20,Central,Rohit,Shipped
51,217,2025-10-17,North,Rohit,Pending
52,316,2024-03-26,East,Karan,Completed
53,262,2025-07-03,South,Neha,Shipped
54,301,2025-12-16,East,Vikram,Cancelled
55,489,2024-09-07,North,Priya,Shipped
56,60,2025-09-15,Central,Rahul,Completed
57,342,2024-01-13,North,Amit,Cancelled
58,6,2024-12-21,West,Rohit,Pending
59,401,2025-01-15,South,Amit,Cancelled
60,400,2024-01-31,North,Neha,Shipped
61,140,2024-09-26,North,Anjali,Cancelled
62,40,2025-06-07,West,Neha,Completed
63,256,2025-01-11,South,Amit,Completed
64,396,2025-11-21,Central,Priya,Completed
65,380,2024-02-15,North,Rahul,Completed
66,24,2025-01-27,East,Amit,Completed
67,477,2025-11-02,Central,Vikram,Completed
68,165,2024-11-23,West,Karan,Completed
69,293,2025-05-29,North,Rahul,Completed
70,115,2025-02-14,North,Priya,Shipped
71,444,2024-12-01,East,Priya,Pending
72,234,2024-07-24,East,Karan,Pending
73,402,2024-09-05,Central,Pooja,Completed
74,303,2025-07-13,South,Sneha,Completed
75,4,2024-08-26,North,Rohit,Completed
76,326,2024-01-02,East,Vikram,Cancelled
77,373,2024-07-29,North,Rohit,Completed
78,215,2024-05-25,North,Karan,Completed
79,23,2025-02-26,Central,Neha,Shipped
80,499,2024-04-07,Central,Rohit,Completed
81,327,2025-08-29,North,Anjali,Completed
82,223,2024-10-25,South,Karan,Completed
83,475,2024-11-21,East,Pooja,Completed
84,120,2024-05-19,South,Anjali,Completed
85,80,2025-04-05,South,Pooja,Completed
86,209,2025-01-01,Central,Sneha,Shipped
87,158,2024-05-02,East,Priya,Completed
88,414,2024-02-11,Central,Sneha,Completed
89,76,2024-12-30,South,Vikram,Pending
90,26,2024-06-27,East,Rahul,Shipped
91,438,2025-07-17,Central,Sneha,Completed
92,237,2024-05-04,South,Rahul,Completed
93,426,2024-07-21,South,Vikram,Completed
94,352,2025-08-23,Central,Karan,Completed
95,12,2025-10-23,South,Pooja,Completed
96,48,2024-02-13,North,Pooja,Completed
97,87,2025-02-08,West,Pooja,Completed
98,196,2024-12-28,South,Sneha,Completed
99,141,2024-06-01,West,Rahul,Pending
100,318,2025-10-24,South,Karan,Shipped
101,211,2024-03-03,West,Priya,Completed
102,197,2024-07-23,West,Rohit,Completed
103,323,2025-01-26,North,Neha,Shipped
104,279,2025-08-02,East,Rohit,Completed
105,199,2024-01-27,South,Neha,Pending
106,113,2024-02-29,East,Pooja,Pending
107,184,2024-06-12,South,Priya,Completed
108,337,2025-06-30,East,Rahul,Completed
109,295,2024-06-26,East,Amit,Completed
110,304,2025-08-28,East,Rahul,Cancelled
111,359,2025-07-31,Central,Amit,Pending
112,486,2025-07-09,West,Karan,Completed
113,252,2024-02-27,North,Sneha,Pending
114,113,2025-05-04,Central,Rahul,Completed
115,470,2024-05-13,South,Neha,Cancelled
116,91,2024-01-23,North,Amit,Pending
117,361,2025-06-22,North,Neha,Completed
118,192,2024-04-13,Central,Neha,Completed
119,166,2025-03-23,South,Pooja,Cancelled
120,163,2025-12-11,Central,Anjali,Completed
121,115,2025-01-22,South,Karan,Cancelled
122,353,2024-06-30,South,Rahul,Cancelled
123,486,2025-08-04,West,Rahul,Completed
124,309,2024-08-14,Central,Anjali,Completed
125,480,2024-12-05,South,Priya,Completed
126,178,2025-10-13,South,Priya,Cancelled
127,344,2024-01-12,West,Karan,Completed
128,128,2024-09-19,East,Priya,Cancelled
129,1,2025-03-24,West,Vikram,Completed
130,453,2025-01-22,West,Neha,Pending
131,193,2025-08-14,West,Sneha,Completed
132,232,2024-10-28,North,Rahul,Completed
133,134,2024-12-16,North,Amit,Shipped
134,83,2024-04-05,Central,Neha,Pending
135,315,2025-03-17,North,Amit,Pending
136,456,2024-02-24,South,Priya,Completed
137,106,2025-12-14,West,Rohit,Cancelled
138,474,2025-11-07,East,Karan,Completed
139,122,2025-02-06,North,Anjali,Pending
140,431,2024-02-25,South,Neha,Completed
141,219,2025-11-08,East,Anjali,Shipped
142,103,2024-07-30,North,Amit,Cancelled
143,150,2024-04-28,West,Karan,Shipped
144,242,2024-04-03,East,Rohit,Shipped
145,95,2025-01-13,West,Amit,Shipped
146,23,2025-04-21,West,Karan,Completed
147,429,2024-03-04,Central,Amit,Cancelled
148,342,2025-11-15,North,Neha,Pending
149,212,2025-07-20,South,Rahul,Shipped
150,420,2025-07-02,West,Pooja,Pending
151,452,2024-11-02,West,Priya,Shipped
152,463,2025-08-07,Central,Rohit,Pending
153,347,2024-05-03,South,Pooja,Completed
154,486,2024-07-16,South,Amit,Completed
155,217,2024-07-25,West,Amit,Pending
156,133,2024-03-30,North,Vikram,Pending
157,204,2024-10-09,East,Rohit,Shipped
158,470,2025-08-24,Central,Rohit,Shipped
159,58,2024-05-31,South,Anjali,Pending
160,299,2025-07-30,North,Priya,Completed
161,445,2025-02-24,East,Karan,Shipped
162,336,2025-09-15,Central,Pooja,Completed
163,89,2024-05-27,West,Anjali,Pending
164,349,2025-02-09,North,Neha,Cancelled
165,122,2024-10-02,West,Neha,Completed
166,173,2024-10-14,East,Pooja,Cancelled
167,351,2024-05-17,South,Karan,Cancelled
168,227,2025-03-02,East,Anjali,Cancelled
169,46,2024-08-04,West,Vikram,Cancelled
170,249,2024-02-27,East,Rohit,Completed
171,34,2025-02-17,Central,Amit,Pending
172,451,2024-06-26,North,Sneha,Completed
173,429,2024-02-03,South,Pooja,Completed
174,471,2024-10-07,South,Neha,Shipped
175,259,2025-11-28,North,Rahul,Completed
176,191,2025-04-01,Central,Amit,Shipped
177,301,2024-12-18,East,Amit,Completed
178,384,2024-01-29,East,Vikram,Completed
179,84,2024-08-14,South,Sneha,Cancelled
180,106,2025-06-09,West,Rahul,Cancelled
181,5,2025-10-24,South,Amit,Pending
182,411,2024-09-15,South,Anjali,Completed
183,365,2025-01-20,West,Neha,Shipped
184,130,2024-11-05,West,Rohit,Pending
185,204,2024-01-08,North,Rohit,Cancelled
186,495,2025-10-24,Central,Anjali,Pending
187,145,2025-05-08,North,Priya,Completed
188,142,2024-09-24,East,Karan,Completed
189,77,2024-02-28,South,Anjali,Shipped
190,339,2024-01-27,South,Pooja,Completed
191,133,2025-02-01,West,Rahul,Pending
192,363,2024-12-17,South,Sneha,Cancelled
193,274,2025-06-03,East,Karan,Completed
194,431,2024-10-27,South,Priya,Shipped
195,66,2024-07-06,Central,Neha,Cancelled
196,46,2024-08-16,East,Karan,Shipped
